experiment,app,data_type,num_ranks,system,use_case,data_structure,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,num_edges,scheduler,makespan,energy_kwh,avg_power_kw,utilization,burstiness,num_time_bins,scenario,compute_power_mw,total_power_mw,peak_power_mw,power_variance,power_efficiency,pattern
comd_n64_scaled_20260121_214308,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,spectral,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3958.686529383838,3190.5113257299627,2901.4271999999996,70.0,1.202800333463499,388.0,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,backfill,3414.4000000000005,2531.6951080960002,2669.3130239999996,78.0,1.202800333463499,388.0,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,sjf,3204.6626941232325,2324.523876888607,2611.28448,82.0,1.202800333463499,388.0,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,3.7476746510601644,4.8719770463782135,4.90732125,0.0001762962143246733,0.813297450316876,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,3.7208622208481317,4.8371208871025715,4.86539625,0.00011282957716779095,0.8074787805660008,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,3.615595702564046,4.7002744133332595,4.90732125,0.005849636142833969,0.784634484063378,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,3.5381600743871826,4.599608096703338,4.62905612,0.00012238237627464668,0.7678298772541629,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,adaptive_routing,static_matrix,minimal,3.5605183438605126,24.335060005283502,0.01729095538871795,0.02732436224,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,adaptive_routing,static_matrix,ugal,4.069163821554872,24.335060005283502,0.01729095538871795,0.02732436224,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,adaptive_routing,static_matrix,valiant,5.0872783215589745,24.335060005283502,0.017455664311794874,0.02732436224,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,contiguous,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,random,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,locality,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,spectral,1733217584.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3958.686529383838,10798.00192180994,9819.622399999998,70.0,1.202800333463499,388.0,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,scheduling,dynamic_matrix,,,,,,,,,,,backfill,3414.4000000000005,8568.297006876444,9034.052607999998,78.0,1.202800333463499,388.0,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,scheduling,dynamic_matrix,,,,,,,,,,,sjf,3204.6626941232325,7867.144393914209,8837.66016,82.0,1.202800333463499,388.0,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,12.850064840784151,15.420077808940981,15.4871496,0.0007450932096338643,1.356636913089543,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,12.794943472627324,15.353932167152786,15.4075896,0.00047685965416567535,1.3508175118905534,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,12.351082068489065,14.821298482186878,15.4871496,0.07129566230916633,1.3039571440550113,
comd_n64_scaled_20260121_214308,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,12.315720367320127,14.778864440784153,14.8347576,0.0005174258400235185,1.300223856347142,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,adaptive_routing,static_matrix,minimal,3.5000028389102935,12.499946496229013,8.111172266666667e-07,4.28032e-06,0.000386864,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,adaptive_routing,static_matrix,ecmp,4.000003244468907,12.499946496229013,8.111172266666667e-07,4.28032e-06,0.000386864,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,contiguous,773728.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,random,773728.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,locality,773728.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,node_placement,affinity_graph,,,,,,,spectral,773728.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3075.6855122213487,2478.8548899458206,2901.4271999999996,70.0,1.2522850407378303,3.0,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,scheduling,dynamic_matrix,,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,1.2522850407378303,3.0,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,scheduling,dynamic_matrix,,,,,,,,,,,sjf,2474.86289755573,1795.1586318097518,2611.28448,82.0,1.2522850407378303,3.0,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,3.742377114088973,4.865090248315665,4.90732125,0.0020961019436166258,0.8121478112172249,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,3.716624191271178,4.831611448652532,4.86539625,0.00134150524391465,0.80655906928628,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,3.6652521104738747,4.764827743616037,4.90732125,0.02373876685593996,0.7954106142521429,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,3.5337462815680833,4.593870166038508,4.62905612,0.0014550847717085993,0.7668720229097403,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,adaptive_routing,static_matrix,minimal,3.5000093890560002,24.999843840975434,2.6825874285714284e-06,6.2464e-06,0.000386864,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,adaptive_routing,static_matrix,ugal,4.0000107303497145,24.999843840975434,2.6825874285714284e-06,6.2464e-06,0.000386864,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,adaptive_routing,static_matrix,valiant,5.000013412937143,24.999843840975434,2.6825874285714284e-06,6.2464e-06,0.000386864,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,contiguous,386864.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,random,386864.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,locality,386864.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,node_placement,affinity_graph,,,,,,,spectral,386864.0,0.0,128.0,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3075.6855122213487,8389.463986434506,9819.622399999998,70.0,1.2522850407378303,3.0,,,,,,,
cosp2_n128_sparse_20260121_215534,cosp2,real,129,frontier,scheduling,dynamic_matrix,,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,1.2522850407378303,3.0,,,,,,,
