experiment,data_type,system,use_case,algorithm,latency_us,throughput_gbps,congestion,slowdown_factor,avg_hops,strategy,communication_cost,cost_reduction,scheduler,makespan,avg_wait_time,utilization,jobs_completed,energy_kwh,avg_power_kw,co2_kg,pflops,rl_reward,scenario,compute_power_mw,total_power_mw,peak_power_mw,avg_pflops,efficiency_gflops_w,rpeak_pflops,pattern,num_ranks
cosp2_n128_sparse_20260121_215534,real,lassen,power,,,,,,,,,,,,,,,15.203728052604928,,6081.491221041972,,,job_packing,1.8244473663125913,2.3717815762063688,2.827013184210527,46.89527352368969,25703.8237384015,157.5936,,
cosp2_n128_sparse_20260121_215534,real,frontier,routing,minimal,0.7394400000000001,25.0,1.1995782945736435e-08,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,routing,ugal,0.9644400000000001,25.0,1.1995782945736435e-08,1.0,4.2,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,routing,valiant,1.18944,25.0,1.1995782945736435e-08,1.0,5.5,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,placement,,,,,,,contiguous,773728.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,placement,,,,,,,random,773728.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,placement,,,,,,,locality,1031360.0,-0.3329748955705365,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,placement,,,,,,,spectral,773728.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,scheduling,,,,,,,,,,fcfs,5700.0,18.181818181818183,0.5321316382171646,11.0,53.39710640244634,33.724488254176634,18.688987240856218,0.021076403860686342,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,scheduling,,,,,,,,,,backfill,5700.0,0.0,0.5321316382171646,11.0,53.39710640244634,33.724488254176634,18.688987240856218,0.021076403860686342,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,scheduling,,,,,,,,,,sjf,5700.0,18.181818181818183,0.5321316382171646,11.0,53.39710640244634,33.724488254176634,18.688987240856218,0.021076403860686342,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,scheduling,,,,,,,,,,rl,5700.0,24.0,0.0,11.0,0.0,0.0,0.0,0.0,65.04000000000006,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,frontier,power,,,,,,,,,,,,,,,50.66446694177952,,17732.56342962283,,,baseline,6.079736033013543,7.295683239616251,8.689348187234044,343.7002711309819,56532.10423358133,1018.24,,
cosp2_n128_sparse_20260121_215534,real,frontier,power,,,,,,,,,,,,,,,50.32663309531055,,17614.32158335869,,,power_cap,6.039195971437265,7.247035165724718,8.615830314893618,343.6651719724066,56905.782424977,1018.24,,
cosp2_n128_sparse_20260121_215534,real,frontier,power,,,,,,,,,,,,,,,50.0420049557242,,17514.70173450347,,,frequency_scaling,6.005040594686904,7.206048713624285,8.689348187234044,333.5251073817153,55540.85807126919,1018.24,,
cosp2_n128_sparse_20260121_215534,real,frontier,power,,,,,,,,,,,,,,,44.09494443203621,,15433.230551212671,,,job_packing,5.291393331844345,6.349671998213214,7.594524434042554,335.99357802035246,63498.129310912525,1018.24,,
cosp2_n128_sparse_20260122_004059,real,lassen,routing,minimal,0.87912,12.5,2.2734387596899226e-08,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,routing,ecmp,1.12912,12.5,2.2734387596899226e-08,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,placement,,,,,,,contiguous,733184.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,placement,,,,,,,random,733184.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,placement,,,,,,,locality,921056.0,-0.2562412709497206,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,placement,,,,,,,spectral,733184.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,scheduling,,,,,,,,,,fcfs,5700.0,18.181818181818183,1.1121009990253412,11.0,41.418935051931044,26.159327401219606,16.56757402077242,0.01291109224232456,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,scheduling,,,,,,,,,,backfill,5700.0,0.0,1.1121009990253412,11.0,41.418935051931044,26.159327401219606,16.56757402077242,0.01291109224232456,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,scheduling,,,,,,,,,,sjf,5700.0,18.181818181818183,1.1121009990253412,11.0,41.418935051931044,26.159327401219606,16.56757402077242,0.01291109224232456,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,scheduling,,,,,,,,,,rl,5700.0,24.0,0.0,11.0,0.0,0.0,0.0,0.0,65.04000000000006,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,lassen,power,,,,,,,,,,,,,,,17.003173655363472,,6801.269462145389,,,baseline,2.0403808386436166,2.652495090236702,3.264698210526316,45.99538665399961,22542.549794074694,157.5936,,
cosp2_n128_sparse_20260122_004059,real,lassen,power,,,,,,,,,,,,,,,16.83169241966428,,6732.676967865712,,,power_cap,2.019803090359713,2.6257440174676274,3.2233346052631577,45.96677856492199,22758.04942784577,157.5936,,
cosp2_n128_sparse_20260122_004059,real,lassen,power,,,,,,,,,,,,,,,16.816778144104205,,6726.711257641682,,,frequency_scaling,2.0180133772925046,2.623417390480256,3.264698210526316,44.66193466482877,22131.63459042579,157.5936,,
cosp2_n128_sparse_20260122_004059,real,lassen,power,,,,,,,,,,,,,,,14.663039983344365,,5865.215993337746,,,job_packing,1.7595647980013238,2.287434237401721,2.827013184210527,44.95477083203635,25548.800978003273,157.5936,,
cosp2_n128_sparse_20260122_004059,real,frontier,routing,minimal,0.73956,25.0,1.1367193798449613e-08,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,frontier,routing,ugal,0.96456,25.0,1.1367193798449613e-08,1.0,4.2,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,frontier,routing,valiant,1.18956,25.0,1.1367193798449613e-08,1.0,5.5,,,,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260122_004059,real,frontier,placement,,,,,,,contiguous,733184.0,0.0,,,,,,,,,,,,,,,,,,,
